Id,Source,Target,Type,Label,Description,Source_Chunks
0,Нейронная сеть,Аппроксимирующая функция,used-for,used-for,"Нейронная сеть используется для аппроксимации неизвестной сложной функции, связывающей входные и выходные данные.",0
1,Weights,Слой нейронной сети,part-of,part-of,"Weights (веса) связей используются при распространении значений по слоям нейронной сети, умножаясь на значения с нейронов предыдущего слоя., Показаны начальные weights слоев сети.",0|21
2,Biases,Слой нейронной сети,part-of,part-of,Biases (смещения) добавляются к сумме значений в нейроне слоя нейронной сети после взвешенного суммирования значений с предыдущего слоя.,0
3,Предсказание,Нейронная сеть,produces,produces,Нейронная сеть производит предсказание соответствующих выходных значений для новых входных данных.,0
4,Функция активации,Нейрон,part-of,part-of,Функция активации является частью нейрона и преобразует сумму в нейроне.,1
5,Обучение нейронной сети,Weights (Веса),requires,requires,Обучение нейронной сети требует поиска оптимальных значений весов.,1
6,Обучение нейронной сети,Biases (Смещения),requires,requires,Обучение нейронной сети требует поиска оптимальных значений смещений.,1
7,Функция ошибки,Обучающие примеры (training examples),used-for,used-for,Функция ошибки используется для минимизации расхождений между предсказанными и реальными значениями на обучающих примерах.,1
8,Аппроксимирующая функция,Истинная базовая функция,connected-to,connected-to,Аппроксимирующая функция демонстрирует повышенную конвергенцию к истинной базовой функции в процессе обучения нейронной сети.,2
9,Функция ошибки,Пространство весов,part-of,part-of,Функция ошибки показана в пространстве весов (для двух параметров weights и biases).,2
10,Обучение нейронной сети,Сжатие данных,enables,enables,"В процессе обучения нейронная сеть учится сжимать данные в информативные признаки, кодируя закономерности и игнорируя шум.",2
11,Матрица весов,Слой нейронной сети,part-of,part-of,Матрица весов является частью слоя нейронной сети.,3
12,Линейная разделимость,Гиперповерхность,creates,creates,Гиперплоскость создает линейное разделение.,3
13,Переобучение,Обобщение,prevents,prevents,Переобучение (overfitting) препятствует обобщению (способности работать с новыми данными).,3
14,Аппроксимация,Теорема универсальной аппроксимации,enables,enables,Теорема универсальной аппроксимации позволяет аппроксимировать практически любую непрерывную функцию.,4
15,Неопределённость,Информация,connected-to,connected-to,"Наблюдение приносит информацию, уменьшая неопределенность. Информация является мерой уменьшения неопределенности.",4
16,Энтропия,Неопределённость,represents,represents,Энтропия - мера неопределенности.,4
17,равные вероятности,Энтропия,causes,causes,Энтропия максимальна при равных вероятностях.,5
18,Условная entropy,Неопределённость,equals,equals,Условная entropy - это неопределённость y при известном x.,5
19,Опыт,Внутренняя модель мира,creates,creates,"Опыт формирует внутреннюю модель мира, которая является вероятностной моделью.",6
20,Энтропия системы h(x),Оптимальная стратегия задавания вопросов,controls,controls,Оптимальная стратегия задавания вопросов направлена на минимизацию энтропии системы h(x).,6
21,Бинарный поиск,Оптимальная стратегия задавания вопросов,enables,enables,Оптимальная стратегия задавания вопросов использует бинарный поиск для быстрого сужения круга поиска.,6
22,Метод информационного бутылочного горлышка,I(X;Y),used-for,used-for,"Метод информационного бутылочного горлышка используется для извлечения полезной информации I(X,Y).",7
23,Метод информационного бутылочного горлышка,Mean Squared Error (MSE),connected-to,connected-to,"Метод информационного бутылочного горлышка анализирует внутренние процессы сети, а не только итоговые потери, такие как Mean Squared Error (MSE).",7
24,Глубокая нейронная сеть прямого действия,Скрытые слои,part-of,part-of,Глубокая нейронная сеть прямого действия состоит из M скрытых слоев.,7
25,Сжатие данных,Обобщение,causes,causes,"Способность сети сжимать данные, выделяя значимые паттерны, влияет на обобщение.",8
26,Кластеры,Квантование данных,part-of,part-of,"Квантование данных включает в себя разбиение входных данных на группы, называемые кластерами.",8
